Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Aboyne Bridge,AB1,A,Road Br over R Dee,450,57 04.213N 002 47.239W,,22,W,Aberdeen,35236 79796,AB1,AB1
Abbot's Bromley,ABB,A,Reservoir/B5013 E,328,52 48.780N 001 54.594W,,16,WSW,Derby,40617 32394,ABB,ABB
Aboyne Dinnet,ABD,A,B9119/River Bridge,492,57 04.301N 002 53.397W,,25,W,Aberdeen,34614 79820,ABD,ABD
Abergavenny,ABE,A,A465/A40 R'bt,230,51 48.575N 003 00.587W,,15,SW,Hereford,33048 21281,ABE,ABE
Aberfeldy,ABF,A,B846/River Tay,197,56 37.270N 003 52.428W,,19,NW,Perth,28512 74927,ABF,ABF
Abingdon Airfield,ABG,A#,Main Runway Intersection,240,51 41.450N 001 19.000W,122.100,8,SW,Oxford,44733 19934,ABG,ABG
Abington,ABI,A,M74/A702/A73,853,55 30.206N 003 41.746W,,26,SE,Glasgow,29299 62460,ABI,ABI
Aberfoyle,ABL,A,A821/B829,66,56 10.717N 004 23.070W,,16,WNW,Stirling,25208 70100,ABL,ABL
Abingdon Bridge,ABN,A,A415 br over River Thames,164,51 40.120N 001 16.766W,,5,SSE,Oxford,44993 19690,ABN,ABN
Aboyne,ABO,C#,Clubhouse,460,57 04.515N 002 50.571W,130.105,23,W,Aberdeen,34900 79856,ABO,ABO
Aberchirder,ABR,B,A97/B9023,394,57 33.512N 002 37.802W,,23,ESE,Lossiemouth,36240 85222,ABR,ABR
Abergavenny SW,ABS,A,1833ft Trig point,1833,51 48.025N 003 03.621W,,18,SW,Hereford,32698 21184,ABS,ABS
Aberystwyth Pier,ABY,B,Sea end,15,52 24.980N 004 05.291W,,52,WSW,Shrewsbury,25808 28187,ABY,ABY
Alconbury,ACB,A,A1/A14,160,52 22.720N 000 15.325W,,11,S,Peterborough,51885 27706,ACB,ACB
Accrington NE,ACC,A#,M65 J8 with A56,395,53 46.883N 002 19.748W,,23,SE,Lancaster,37841 43172,ACC,ACC
Achnasheen,ACH,A,A832/A890,510,57 34.694N 005 04.810W,,19,S,Ullapool,21593 85842,ACH,ACH
Achnabourin,ACN,B,A836/B871,115,58 29.280N 004 12.768W,,34,W,Wick,27110 95766,ACN,ACN
Aston Down Finish N,AD1,D#,Centre of finish line,600,51 42.866N 002 07.466W,,11,S,Cheltenham,39150 20175,AD1,AD1
Aston Down Finish S,AD2,D#,Centre of finish line,600,51 42.016N 002 08.300W,,12,S,Cheltenham,39054 20018,AD2,AD2
Aberdare SE,ADE,B,Bridge,394,51 42.023N 003 24.943W,,20,E,Swansea,30226 20113,ADE,ADE
Andoversford,ADF,A,A436/A40,541,51 52.547N 001 57.853W,,4,E,Cheltenham,40256 21969,ADF,ADF
Aberdaron,ADN,A#,River bridge,33,52 48.273N 004 42.722W,,68,W,Shrewsbury,21729 32645,ADN,ADN
Alfriston Bridge,AFB,C,River Bridge,30,50 48.698N 000 09.734E,,12,E,Brighton,55243 10357,AFB,AFB
Alford,AFD,A,A944/A980,492,57 14.272N 002 43.527W,,19,WNW,Aberdeen,35631 81658,AFD,AFD
Abergele South,AGS,A,A548/B5381,509,53 15.124N 003 35.765W,,27,W,Chester,29361 37397,AGS,AGS
Altnaharra,AHA,A,A836 river br,255,58 17.210N 004 26.578W,,32,NE,Ullapool,25687 93573,AHA,AHA
Alnwick E,AKE,A,A1/A1068,134,55 24.396N 001 40.869W,,24,SSE,Berwick,42029 61256,AKE,AKE
Aln Bridge,ALB,A,A697/River Aln,195,55 24.323N 001 51.793W,,22,SSE,Berwick,40876 61239,ALB,ALB
Alcester,ALC,A,River/A46,148,52 12.438N 001 52.640W,,13,E,Worcester,40848 25657,ALC,ALC
Aylesham,ALE,C,Station,272,51 13.686N 001 12.544E,,6,SE,Canterbury,62415 15255,ALE,ALE
Alfreton,ALF,A,M1 J28/A38,253,53 06.072N 001 19.466W,,13,NNE,Derby,44533 35621,ALF,ALF
Allendale Bridge,ALL,A,River Bridge,709,54 53.796N 002 15.521W,,20,WSW,Newcastle,38351 55579,ALL,ALL
Alnwick Moor SW,ALM,A,A697/B6341,653,55 20.991N 001 50.779W,,24,NNW,Newcastle,40984 60621,ALM,ALM
Alston,ALO,A,A689 Br over R South Tyne,885,54 48.576N 002 26.547W,,17,ESE,Carlisle,37166 54617,ALO,ALO
Aberlour,ALR,B,Spey Bridge,335,57 28.222N 003 13.915W,,15,S,Lossiemouth,32621 84290,ALR,ALR
Alfreton South,ALS,A,A38/A610,236,53 03.475N 001 25.048W,,8,N,Derby,43914 35134,ALS,ALS
Alva,ALV,C,A91/B908,102,56 09.166N 003 47.916W,,5,NNE,Stirling,28837 69702,ALV,ALV
Alton Southwest,ALW,A,A31/A32 r'bt,551,51 07.931N 000 59.689W,,4,SSE,Lasham,47043 13747,ALW,ALW
Alyth,ALY,A,A926/B954,295,56 36.992N 003 12.707W,,12,NW,Dundee,32573 74784,ALY,ALY
Amberley,AMB,A,Rail/B2139,151,50 53.816N 000 32.538W,,25,SE,Lasham,50261 11184,AMB,AMB
Ambleside,AMS,A,A593 Bridge,135,54 25.594N 002 58.150W,,22,N,Lancaster,33722 50389,AMS,AMS
Amulree,AMU,A,A822/River Br,883,56 30.612N 003 47.301W,,13,NW,Perth,29004 73678,AMU,AMU
Andover SW,AND,A,A303/A343,249,51 12.066N 001 30.439W,,17,W,Lasham,43452 14477,AND,AND
Andover SE,ANE,A,A303/Andover bypass E,410,51 12.029N 001 27.004W,,13,SSW,Newbury,43852 14473,ANE,ANE
Ansty Cross,ANX,D,Crossroads,530,50 49.900N 002 19.725W,,12,ESE,Yeovil,37694 10362,ANX,ANX
Appleby,APP,A,Rail/A66,525,54 35.272N 002 29.940W,,24,SE,Carlisle,36785 52152,APP,APP
Ardvasar,ARD,B#,Pier sea end,10,57 03.883N 005 53.615W,,30,WNW,Fort William,16405 80381,ARD,ARD
Ardrishaig Lighthouse,ARL,A,Lighthouse,10,56 00.738N 005 26.646W,,23,W,Greenock,18541 68528,ARL,ARL
Arundel,ARU,B,Castle Keep,125,50 51.413N 000 33.303W,,16,W,Brighton,50180 10737,ARU,ARU
Ashbury,ASB,C,B4000/B4507,374,51 33.833N 001 37.094W,,6,E,Swindon,42656 18507,ASB,ASB
Ashford East,ASE,A,M20 J10/A20,400,51 08.229N 000 54.640E,,20,NE,Hastings,60372 14157,ASE,ASE
Ashbourne,ASH,C,A/F SE end R/W 32,574,53 00.021N 001 41.822W,,10,NW,Derby,42043 34482,ASH,ASH
Aspatria,ASP,A,Rail Station,164,54 45.549N 003 19.904W,,16,SW,Carlisle,31440 54128,ASP,ASP
Ashford South,ASS,A,A2070/Rail Bridge,315,51 04.092N 000 51.279E,,16,NE,Hastings,60010 13375,ASS,ASS
Aston Down,AST,C#,R/Ws 26/20,600,51 42.358N 002 07.916W,129.980,11,S,Cheltenham,39098 20081,AST,AST
Airdrie Southwest,ASW,A#,A725 bridge over A8,151,55 50.472N 004 01.473W,,16,S,Stirling,27332 66274,ASW,ASW
Ashley,ASY,C,A53/B502,640,52 55.183N 002 23.440W,,18,NE,Shrewsbury,37383 33588,ASY,ASY
Atherstone,ATH,A,A5/Rail Bridge,318,52 34.821N 001 33.239W,,15,WSW,Leicester,43032 29815,ATH,ATH
Attleborough,ATT,A#,A11 Br over B1077,164,52 31.279N 001 00.638E,,12,SW,Norwich,60435 29575,ATT,ATT
Alton Towers,ATW,C,River/Road Bridge,217,52 58.833N 001 53.671W,,15,NW,Derby,40718 34258,ATW,ATW
Auldgirth,AUL,A,Bridge,115,55 09.549N 003 42.466W,,6,NNW,Dumfries,29129 58631,AUL,AUL
Avebury,AVE,A,A4/A361R'bout,335,51 25.159N 001 52.482W,,9,SSW,Swindon,40881 16893,AVE,AVE
Avening,AVN,A,Cross-Roads,383,51 40.807N 002 10.133W,,13,S,Cheltenham,38842 19794,AVN,AVN
Axminster,AXM,B,Station/Road Br,236,50 46.791N 003 00.268W,,17,SW,Yeovil,32928 09829,AXM,AXM
Aylesbury,AYL,A,A41/Rail Bridge,289,51 49.990N 000 51.774W,,14,ENE,Oxford,47845 21556,AYL,AYL
Aysgarth,AYS,A,A684/B6160,492,54 17.723N 001 57.555W,,20,SW,Darlington,40275 48886,AYS,AYS
Banbury W,BA1,B,A422 T junct,529,52 04.417N 001 23.665W,,2,WNW,Banbury,44160 24187,BA1,BA1
Banbury N,BA2,C,M40 bridge,360,52 07.262N 001 22.687W,,3.5,NNW,Banbury,44268 24715,BA2,BA2
Balallan,BAA,A,T-Junction,15,58 05.180N 006 38.180W,,12,SW,Stornoway,12682 92021,BAA,BAA
Ballachulish Bridge,BAB,A,A82 Bridge over A828,10,56 41.283N 005 10.928W,,9,SSW,Fort William,20521 75967,BAB,BAB
Backwater Reservoir,BAC,B,Tower in water near Dam Wall,984,56 43.018N 003 13.312W,,16,NNW,Dundee,32531 75903,BAC,BAC
Badminton,BAD,C#,Church Tower,400,51 32.636N 002 16.826W,,11,N,Bath,38065 18282,BAD,BAD
Bath East,BAE,C#!,Road/Rail Bridge,79,51 23.868N 002 19.385W,,3,NE,Bath,37762 16658,BAE,BAE
Balfron,BAF,C,A811/A81,46,56 05.024N 004 22.149W,,16,N,Glasgow,25267 69041,BAF,BAF
Bangor-on-Dee,BAG,C,A525/River Bridge,121,53 00.050N 002 54.687W,,19,NNW,Shrewsbury,33893 34522,BAG,BAG
Barrhill,BAH,A,A714/River Br,20,55 06.094N 004 45.806W,,40,W,Dumfries,22379 58206,BAH,BAH
Bakewell,BAK,A,Bridge,394,53 12.879N 001 40.376W,,18,NNW,Derby,42194 36867,BAK,BAK
Bala,BAL,A,A494/River Bridge,548,52 54.780N 003 35.622W,,32,WNW,Shrewsbury,29293 33625,BAL,BAL
Bampton,BAM,A,River bridge,360,50 59.356N 003 29.061W,,15,N,Exeter,29591 12215,BAM,BAM
Banbury,BAN,A,M40 J11/A422,308,52 04.355N 001 18.784W,,1.5,NE,Banbury,44718 24180,BAN,BAN
Barnard Castle,BAR,B,River/A67 Bridge,492,54 32.555N 001 55.676W,,12,W,Darlington,40476 51637,BAR,BAR
Basingstoke,BAS,A,M3 Junction 6,351,51 15.482N 001 03.893W,,6,NNW,Lasham,46535 15140,BAS,BAS
Bath Racecourse SW,BAT,D#!,View Point,705,51 24.781N 002 24.840W,,2,NW,Bath,37130 16830,BAT,BAT
Banchory West,BAW,D#,Spiral Filter at Water Works,262,57 03.495N 002 33.385W,,15,WSW,Aberdeen,36635 79649,BAW,BAW
Boat O'Brig,BBG,A,Spey Rail Bridge,164,57 33.065N 003 08.444W,,11,SE,Lossiemouth,33183 85179,BBG,BBG
Bracken Bank,BBK,D#,Centre of grass runway,560,54 44.867N 002 43.577W,,11,SSE,Carlisle,35335 53945,BBK,BBK
Bath Bridge,BBR,B#!,E/W Bridge over R Avon 300m N of station,105,51 22.854N 002 21.327W,,2,E,Bath,37536 16471,BBR,BBR
Bishop's Caundle,BCA,A,Bridge,203,50 54.747N 002 25.027W,,9,ESE,Yeovil,37077 11264,BCA,BCA
Banchory East,BCE,C#,Road T junction,165,57 03.201N 002 27.337W,,12,WSW,Aberdeen,37246 79590,BCE,BCE
Bishop's Cleeve NW,BCL,D,Road Bridge over minor Railway,255,51 58.103N 002 02.006W,,4,NNE,Cheltenham,39780 22999,BCL,BCL
Brechin,BCN,A,A933/River Br,164,56 43.412N 002 38.872W,,19,NE,Dundee,36045 75928,BCN,BCN
Bishops Castle,BCS,B,A488/B4385,571,52 29.307N 002 59.660W,,17,SSW,Shrewsbury,33258 28830,BCS,BCS
Bishops Cleeve W,BCW,C,Bridge,108,51 57.016N 002 05.933W,,5,N,Cheltenham,39330 22797,BCW,BCW
Banchory,BCY,A#,B974/River Dee Bridge,262,57 02.841N 002 30.042W,,13,WSW,Aberdeen,36972 79525,BCY,BCY
Bodmin SE,BDM,A,A38 bridge over A30,295,50 27.579N 004 41.609W,,21,WNW,Plymouth,20892 06567,BDM,BDM
Beadnell Harbour,BDN,B,Pier,20,55 32.996N 001 37.604W,,18,SE,Berwick,42365 62853,BDN,BDN
Balado,BDO,C#!,Golfball aerial,328,56 12.581N 003 27.702W,118.605,11,S,Perth,30943 70286,BDO,BDO
Bodelwyddan,BDW,C,Crossroads,335,53 15.168N 003 30.739W,,21,WNW,Chester,29920 37393,BDW,BDW
Bardney,BDY,A,B1190/river bridge,52,53 12.475N 000 20.196W,,7,E,Lincoln,51119 36916,BDY,BDY
Beal,BE2,A,Level Crossing,16,55 40.656N 001 54.205W,,6,SW,Berwick,40617 64268,BE2,BE2
Beaminster,BEA,C,A3066/B3163,223,50 48.453N 002 44.278W,,9,SSW,Yeovil,34810 10115,BEA,BEA
Beckington,BEC,A,A36/A361 Roundabout,255,51 16.234N 002 17.087W,,7,SSE,Bath,38023 15242,BEC,BEC
Bedford Bridge,BED,C,River/Rail Br,98,52 07.785N 000 28.645W,,0.5,SW,Bedford,50432 24903,BED,BED
Beer Head W,BEE,C#,Bungalow,440,50 41.278N 003 06.386W,,16,E,Exeter,32194 08817,BEE,BEE
Bellingham,BEL,C,A6320/River Bridge,387,55 08.584N 002 15.718W,,23,NNW,Newcastle,38340 58322,BEL,BEL
Bembridge,BEM,B##,E end of only runway,52,50 40.574N 001 06.262W,123.255,7,S,Portsmouth,46338 08667,BEM,BEM
Bentpath,BEN,A,R Esk bridge,420,55 12.102N 003 05.006W,,19,NNW,Carlisle,33114 59025,BEN,BEN
Berwick W,BER,A,A1/A698,50,55 45.397N 002 02.481W,,1,W,Berwick,39750 65147,BER,BER
St Bees Head,BES,A,Lighthouse,322,54 30.817N 003 38.203W,,35,SW,Carlisle,29414 51438,BES,BES
Beattock,BET,A,A74/Rail,328,55 17.739N 003 26.658W,,15,NNE,Dumfries,30839 60112,BET,BET
Beulah,BEU,C,A483/B4358,486,52 08.928N 003 34.686W,,32,W,Hereford,29212 25123,BEU,BEU
Beverley,BEV,A,A1079/A1035,66,53 50.575N 000 28.642W,,22,ESE,York,50028 43959,BEV,BEV
Bewl Water,BEW,A#,Tower near Dam wall,226,51 04.627N 000 23.873E,,13,SSW,Maidstone,56807 13360,BEW,BEW
Booker Finish SW,BF1,B##,Windsock,489,51 36.372N 000 48.534W,,17,ESE,Oxford,48258 19038,BF1,BF1
Booker Finish NW,BF2,D##,West of Runway 06/24,515,51 36.678N 000 48.762W,,17,ESE,Oxford,48230 19094,BF2,BF2
Belford,BFD,A,A1/B1342,138,55 35.704N 001 48.853W,,12,SE,Berwick,41181 63351,BFD,BFD
Banff,BFF,B,A98/River Br,33,57 39.774N 002 30.781W,,24,E,Lossiemouth,36949 86378,BFF,BFF
Biggar,BGA,A,A72/A702,659,55 36.871N 003 32.323W,,22,SSW,Edinburgh,30318 63673,BGA,BGA
Brigg,BGG,A,M180/Dyke,49,53 33.487N 000 30.226W,,19,N,Lincoln,49921 40787,BGG,BGG
Bangor SE,BGO,A,A55/A5,125,53 12.291N 004 06.394W,,43,W,Chester,25940 36960,BGO,BGO
Blairgowrie,BGR,C,A93/River Bridge,230,56 35.520N 003 20.086W,,11,NNW,Perth,31813 74525,BGR,BGR
Bedlands Gate,BGT,D#,"Centre of field, Microlight site",827,54 34.233N 002 40.233W,,20,SSE,Carlisle,35675 51969,BGT,BGT
Basingstoke West,BGW,A,B3400/Rail bridge,377,51 15.322N 001 11.445W,,7,NW,Lasham,45657 15100,BGW,BGW
Bath North,BHN,A#!,A46/A420,679,51 27.205N 002 22.155W,,4,N,Bath,37444 17278,BHN,BHN
Bicester Control Tower,BIC,A#,Control Tower,267,51 54.936N 001 08.198W,135.480,11,NNE,Oxford,45948 22447,BIC,BIC
Bidford,BID,D#,Hangar,121,52 08.428N 001 50.853W,118.685,14,ESE,Worcester,41053 24914,BID,BID
Bicester East,BIE,A,Rail br over A41,400,51 52.624N 001 05.601W,,9,NE,Oxford,46251 22022,BIE,BIE
Broughton-in-Furness,BIF,A,A595/A593,120,54 16.656N 003 12.702W,,19,NW,Lancaster,32120 48756,BIF,BIF
Biggleswade,BIG,A#!,A1/Rail Bridge,98,52 04.639N 000 15.663W,,9,ESE,Bedford,51927 24353,BIG,BIG
Billinghay,BIL,C,A153/B1189,105,53 04.697N 000 16.430W,,13,SE,Lincoln,51573 35484,BIL,BIL
Biddenden,BIN,C,A262/A274,171,51 06.883N 000 38.608E,,10,SSE,Maidstone,58512 13837,BIN,BIN
Birdlip,BIR,A,A417/A436/B4070,751,51 50.624N 002 05.720W,,3,S,Cheltenham,39353 21613,BIR,BIR
Bishop Auckland,BIS,A,River Wear/A689,89,54 40.027N 001 41.002W,,9,NNW,Darlington,42052 53027,BIS,BIS
Bockleton,BKN,D,Church Tower,719,52 14.970N 002 35.862W,,12,N,Hereford,35929 26143,BKN,BKN
Brinkley Church,BKY,D#,Church tower,360,52 10.061N 000 22.872E,,10,ESE,Cambridge,56295 25483,BKY,BKY
Blakehill Farm,BLA,A,Concrete Plinth,310,51 37.331N 001 53.350W,,5,NW,Swindon,40777 19149,BLA,BLA
Blandford,BLD,A,River/A354 Bridge,341,50 51.215N 002 09.246W,,18,SW,Salisbury,38925 10602,BLD,BLD
Blenheim N,BLE,A#!,A44/B4437,374,51 52.159N 001 22.703W,,9,NNW,Oxford,44290 21915,BLE,BLE
Blaenau Ffestiniog,BLF,B,A470/A496,656,52 59.739N 003 56.511W,,40,WSW,Chester,26977 34602,BLF,BLF
Ballinluig,BLG,A,A827/River Bridge,197,56 38.952N 003 40.317W,,17,NNW,Perth,29758 75207,BLG,BLG
Balloch,BLH,D,Pier Land End,49,56 00.486N 004 35.443W,,6,ENE,Greenock,23857 68249,BLH,BLH
Blidworth,BLI,A,A617/A614 R'bout,230,53 07.207N 001 03.821W,,20,WSW,Lincoln,46276 35851,BLI,BLI
Blakeney Point,BLK,C,Building,5,52 58.392N 000 58.452E,,27,NW,Norwich,59980 34590,BLK,BLK
Blanchland,BLN,A,B6306 bridge over river Derwent,825,54 50.824N 002 03.240W,,17,WSW,Newcastle,39663 55025,BLN,BLN
Bolsover SW,BLO,A,M1 J29,328,53 11.861N 001 19.379W,,16,NNE,Derby,44533 36695,BLO,BLO
Blair Atholl,BLR,D,Castle East,492,56 46.283N 003 51.433W,,25,NNW,Perth,28659 76596,BLR,BLR
Barnsley S,BLS,A,M1 J36,410,53 29.792N 001 28.488W,,14,W,Doncaster,43494 40011,BLS,BLS
Barnsley W,BLW,A#,M1 J37,492,53 32.943N 001 30.947W,,11,W,Doncaster,43218 40593,BLW,BLW
Bletchley,BLY,A#,Rail Bridge/A5,299,52 00.058N 000 42.526W,,10,N,Dunstable,48874 23440,BLY,BLY
Balmaha,BMA,D,Pier Lake End,49,56 05.020N 004 32.922W,,10,NE,Greenock,24150 69080,BMA,BMA
Brynamman,BMM,B,A4069 bridge,472,51 48.506N 003 52.118W,,10,N,Swansea,27127 21385,BMM,BMM
